teks,label
Bantu saya memahami.,jelaskan instruksi
Saya memerlukan bantuan.,jelaskan instruksi
Tampilkan panduan pengguna.,jelaskan instruksi
Buka tab instruksi.,jelaskan instruksi
Muat ulang halaman.,muat ulang halaman
Segarkan tampilan.,muat ulang halaman
Perbarui layar.,muat ulang halaman
Load ulang halaman.,muat ulang halaman
Akses fitur refresh.,muat ulang halaman
Segarkan browser.,muat ulang halaman
Perbarui tampilan.,muat ulang halaman
Buka tautan muat ulang.,muat ulang halaman
Reload layar.,muat ulang halaman
Arahkan ke muat ulang.,muat ulang halaman
Buka tab refresh.,muat ulang halaman
Perbarui halaman.,muat ulang halaman
Klik tombol refresh.,muat ulang halaman
Load ulang browser.,muat ulang halaman
Buka fitur muat ulang.,muat ulang halaman
Saya perlu me-refresh.,muat ulang halaman
Segarkan halaman web.,muat ulang halaman
Akses fitur load ulang.,muat ulang halaman
Buka menu refresh.,muat ulang halaman
Perbarui tampilan situs.,muat ulang halaman
